Move       | perft_output/actual.txt | perft_output/expected.txt | Difference
-----------------------------------------------------------------
c6c5       | 1376989         | 1376845         | -144
d5a5       | 1074576         | 1074981         | +405
d5b5       | 1199096         | 1199311         | +215
d5c5       | 1056305         | 1056629         | +324
d5d3       | 1116840         | 1116725         | -115
d5d4       | 1148350         | 1148069         | -281
d5d6       | 1082647         | 1082874         | +227
d5d7       | 1236795         | 1236734         | -61
d5d8       | 1318020         | 1317888         | -132
e5c4       | 1977634         | 1977498         | -136
e5d3       | 1663799         | 1664262         | +463
e5d7       | 1674891         | 1675202         | +311
e5f3       | 234373          | 235248          | +875
e5g4       | 1625231         | 1625573         | +342
e5g6       | 1510940         | 1511317         | +377
f6d6       | 1294715         | 1294426         | -289
f6d8       | 1523979         | 1523348         | -631
f6e6       | 1448209         | 1447718         | -491
f6e7       | 1589045         | 1588321         | -724
f6f4       | 1500013         | 1499153         | -860
f6f5       | 1452201         | 1451518         | -683
f6g5       | 1336314         | 1335950         | -364
f6g6       | 1282503         | 1282119         | -384
f6h4       | 1313410         | 1312860         | -550
f6h6       | 1151344         | 1151090         | -254
g7g5       | 1297706         | 1297749         | +43
g7g6       | 1119567         | 1119728         | +161
g8f8       | 1403932         | 1403686         | -246
h7h5       | 1397591         | 1398089         | +498
h7h6       | 1260483         | 1261153         | +670
-----------------------------------------------------------------
Summary: Found 30 moves with different node counts.

Move       | perft_output/actual_depth_5.txt | perft_output/expected_depth_5.txt | Difference
-----------------------------------------------------------------
c6c5       | 1377259         | 1376845         | -414
d5a5       | 1074816         | 1074981         | +165
d5b5       | 1199321         | 1199311         | -10
d5c5       | 1056547         | 1056629         | +82
d5d3       | 1117042         | 1116725         | -317
d5d4       | 1148350         | 1148069         | -281
d5d6       | 1082832         | 1082874         | +42
d5d7       | 1236972         | 1236734         | -238
d5d8       | 1318227         | 1317888         | -339
e5c4       | 1978542         | 1977498         | -1044
e5d3       | 1664687         | 1664262         | -425
e5d7       | 1675677         | 1675202         | -475
e5g4       | 1626072         | 1625573         | -499
e5g6       | 1511606         | 1511317         | -289
f6d6       | 1294715         | 1294426         | -289
f6d8       | 1523979         | 1523348         | -631
f6e6       | 1448175         | 1447718         | -457
f6e7       | 1589045         | 1588321         | -724
f6f4       | 1499868         | 1499153         | -715
f6f5       | 1452166         | 1451518         | -648
f6g5       | 1336279         | 1335950         | -329
f6g6       | 1282467         | 1282119         | -348
f6h4       | 1313309         | 1312860         | -449
f6h6       | 1151278         | 1151090         | -188
g7g5       | 1297922         | 1297749         | -173
g7g6       | 1119756         | 1119728         | -28
g8f8       | 1404164         | 1403686         | -478
h7h5       | 1398463         | 1398089         | -374
h7h6       | 1261349         | 1261153         | -196
-----------------------------------------------------------------
Summary: Found 29 moves with different node counts
